Meter,Channel,Date,Raw Value,Unit,Status
P38E0000568,P38E0000568_KW,1/1/2022 0:15,4444.8,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 0:15,4571.8,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 0:30,4368,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 0:30,4497.2,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 0:45,4464,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 0:45,4585,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 1:00,4425.6,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 1:00,4545.4,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 1:15,4214.4,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 1:15,4343.5,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 1:30,4257.6,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 1:30,4386.6,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 1:45,4267.2,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 1:45,4395.9,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 2:00,4156.8,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 2:00,4290,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 2:15,4248,kW,Original
P38E0000568,P38E0000568_KVA,1/1/2022 2:15,4377.2,kVA,Original
P38E0000568,P38E0000568_KW,1/1/2022 2:30,4291.2,kW,Original
