N,VM,FC,ASH,H20,HHV
1,70.05,13.67,16.28,8.39,17.025
2,73.87,14.75,11.38,6.69,18.834
3,71.67,8.31,20.02,4.55,17.76
4,84,10.74,5.26,5.27,22.365
5,80.35,9.37,10.31,5.27,19.178
6,810.75,12.92,6.33,4.77,20.828
7,79.23,17.85,2.92,7.13,19.082
8,75.87,17.97,6.16,4.34,18.202
9,76.85,12.17,10.98,8.53,16.646
10,88.25,9.51,2.23,7.63,18.762
11,63.61,6.88,29.51,6.77,15.0691
12,74.94,12.39,12.67,6.67,17.664
13,79.19,10.39,10.42,8.1,16.267
14,84.9,13.4,4.26,5.79,18.55
15,57,19.2,13.77,10.03,16.7
16,67.37,19.19,5.48,7.96,17.56
17,68.03,14.03,8.12,9.28,28.1
18,68.03,14.03,8.12,9.28,28.1
19,75.02,18.07,6.1,9.91,19.02
20,77.01,9.04,5.9,7.5,24
21,73,11.3,9.2,18.02,20.05
22,69.3,9.01,21.7,9.2,14.2
23,69.8,15.06,15.14,9.44,15.944
24,89.57,6.65,3.78,6.53,15.422
25,74.9,18.9,6.2,6.5,19.97
26,73.2,22,4.8,4.7,21.84
27,69,21,5,5,18.86
28,40.2,28.3,0.5,7.6,19.7
29,64.3,9.2,18.8,7.7,13.36
30,74.49,22.13,3.08,0.3,39.572
31,77.6,2.33,8.08,11.99,21.58
32,79.99,6.43,4.34,9.24,15.892
33,64.23,16.58,14.79,4.35,16.437
34,66.25,21.3,6.79,5.63,18.682
35,39.27,9.45,4.82,3.1,9.555
36,66.64,20.81,7.77,4.74,18.423
37,65.05,16.49,13.43,4.97,16.423
38,63.51,18.17,3.12,15.2,22.46
39,73.41,15.04,7.53,3.83,24.2
40,82.02,15,2.8,9,21.81
41,72,20.48,1.05,6.47,20.44
42,76.55,21.04,2.41,6.21,18.77
43,78.99,19.01,2.01,5.71,19.99
44,58.67,17.11,24.21,5.18,14.11
45,80.5,10.04,3,6.1,15.04
46,65.23,16.55,12.54,5.58,13.48
47,54.39,23.71,14.02,7.88,15.45
48,65.59,20.97,4.99,8.45,17.25
49,69.19,12.72,12.11,5.98,16.42
50,73.25,12.02,5.95,8.78,17.08
51,79.33,4.97,10.67,11.74,10.36
52,90.74,3.09,3.93,2.24,25.6
53,88.52,4.72,5.08,1.68,22.46
54,82.12,10.96,1.49,5.43,16.67
55,164.4,17.3,7.9,10.4,16.37
56,77.4,14.9,7.7,6.61,12
