Code,Time,Direction,Number
1,08:00:32,1,3
2,08:00:38,2,12
3,08:00:46,3,5
4,08:00:49,4,1
5,08:00:55,5,3
6,08:00:57,6,1
7,08:01:30,7,1
8,08:02:00,8,8
9,08:02:05,9,10
10,08:02:08,10,1
11,08:02:20,11,3
12,08:02:22,12,1
13,08:03:00,13,17
14,08:03:05,14,4
15,08:03:10,15,2
16,08:03:18,16,5
17,08:03:20,17,1
18,08:03:44,18,2
19,08:04:00,19,1
20,08:04:02,20,5
21,08:04:09,21,6
22,08:04:20,22,1
23,08:04:22,23,1
24,08:04:22,24,1
25,08:04:30,25,3
26,08:04:33,26,1
27,08:04:34,27,1
28,08:05:09,28,1
29,08:05:10,29,3
30,08:05:28,30,9
31,08:05:31,31,3
32,08:05:32,32,1
33,08:05:42,33,1
34,08:05:50,34,4
35,08:06:00,35,1
36,08:06:01,36,1
37,08:06:20,37,2
38,08:06:28,38,6
39,08:06:30,39,3
40,08:06:33,40,1
41,08:07:06,41,1
42,08:07:25,42,5
43,08:07:28,43,7
44,08:07:52,44,13
45,08:07:53,45,2
46,08:08:00,46,1
47,08:08:04,47,2
48,08:08:19,48,1
49,08:08:23,49,1
50,08:08:26,50,1
51,08:08:37,51,1
52,08:08:37,52,1
53,08:08:53,53,1
54,08:09:00,54,6
55,08:09:05,55,1
56,08:09:20,56,1
